 VARIABLES= X,Y,con
 ZONE I=          61 ,J=          19 ,T=TT
          42          16  0.31666620551472635     
          43          16  0.29999955515339249     
          44          16  0.28333290601135230     
          45          16  0.26666625804057198     
          46          16  0.24999961118980749     
          47          16  0.23333296540474471     
          48          16  0.21666632062814864     
          49          16  0.19999967680002012     
          50          16  0.18333303385776031     
          51          16  0.16666639173634229     
          52          16  0.14999975036848920     
          53          16  0.13333310968485873     
          54          16  0.11666646961423327     
          55          16   9.9999830083714825E-002
          56          16   8.3333191018925099E-002
          57          16   6.6666552344209304E-002
          58          16   4.9999913982843425E-002
          59          16   3.3333275857244611E-002
          60          16   1.6666637889183763E-002
          61          16   0.0000000000000000     
           1          17   1.0000000000000000     
           2          17  0.98333330454689505     
           3          17  0.96666660917269132     
           4          17  0.94999991395607442     
           5          17  0.93333321897529764     
           6          17  0.91666652430796836     
           7          17  0.89999983003083373     
           8          17  0.88333313621957288     
           9          17  0.86666644294858686     
          10          17  0.84999975029079633     
          11          17  0.83333305831744120     
          12          17  0.81666636709788532     
          13          17  0.79999967669942662     
          14          17  0.78333298718711220     
          15          17  0.76666629862356039     
          16          17  0.74999961106878876     
          17          17  0.73333292458005084     
          18          17  0.71666623921167716     
          19          17  0.69999955501492772     
          20          17  0.68333287203785142     
          21          17  0.66666619032515406     
          22          17  0.64999950991807565     
          23          17  0.63333283085427772     
          24          17  0.61666615316773987     
          25          17  0.59999947688866695     
          26          17  0.58333280204340587     
          27          17  0.56666612865437371     
          28          17  0.54999945673999573     
          29          17  0.53333278631465586     
          30          17  0.51666611738865609     
          31          17  0.49999944996818924     
          32          17  0.48333278405532143     
          33          17  0.46666611964798654     
          34          17  0.44999945673999187     
          35          17  0.43333279532103502     
          36          17  0.41666613537673258     
          37          17  0.39999947688865900     
          38          17  0.38333281983439721     
          39          17  0.36666616418760034     
          40          17  0.34999950991806367     
          41          17  0.33333285699180759     
          42          17  0.31666620537117057     
          43          17  0.29999955501491254     
          44          17  0.28333290587832777     
          45          17  0.26666625791336745     
          46          17  0.24999961106877158     
          47          17  0.23333296529020925     
          48          17  0.21666632052042747     
          49          17  0.19999967669940860     
          50          17  0.18333303376453416     
          51          17  0.16666639165075703     
          52          17  0.14999975029077939     
          53          17  0.13333310961523739     
          54          17  0.11666646955289123     
          55          17   9.9999830030820205E-002
          56          17   8.3333190974622898E-002
          57          17   6.6666552308620938E-002
          58          17   4.9999913956066455E-002
          59          17   3.3333275839352416E-002
          60          17   1.6666637880225391E-002
          61          17   0.0000000000000000     
           1          18   1.0000000000000000     
           2          18  0.98333330453630663     
           3          18  0.96666660915154368     
           4          18  0.94999991392442529     
           5          18  0.93333321893323407     
           6          18  0.91666652425560502     
           7          18  0.89999982996831485     
           8          18  0.88333313614706943     
           9          18  0.86666644286629779     
          10          18  0.84999975019894713     
          11          18  0.83333305821628356     
          12          18  0.81666636698769646     
          13          18  0.79999967658050863     
          14          18  0.78333298705979104     
          15          18  0.76666629848818491     
          16          18  0.74999961092573031     
          17          18  0.73333292442970122     
          18          18  0.71666623905444848     
          19          18  0.69999955485125098     
          20          18  0.68333287186817537     
          21          18  0.66666619014994377     
          22          18  0.64999950973781140     
          23          18  0.63333283066945345     
          24          18  0.61666615297886218     
          25          18  0.59999947669625353     
          26          18  0.58333280184798419     
          27          18  0.56666612845647935     
          28          18  0.54999945654017124     
          29          18  0.53333278611344870     
          30          18  0.51666611718661803     
          31          18  0.49999944976587390     
          32          18  0.48333278385328332     
          33          18  0.46666611944677938     
          34          18  0.44999945654016726     
          35          18  0.43333279512314066     
          36          18  0.41666613518131096     
          37          18  0.39999947669624558     
          38          18  0.38333281964551946     
          39          18  0.36666616400277596     
          40          18  0.34999950973779925     
          41          18  0.33333285681659730     
          42          18  0.31666620520149463     
          43          18  0.29999955485123592     
